1	1	1	1	1	130	0	0	0	1.55	0.00	0.13	1.50	0.00
2	1	2	2	0	0	0	0	0	2.00	0.00	0.00	0.50	1.50
3	1	0	1	0	0	0	0	0	3.56	0.00	0.00	1.50	2.00
4	1	2	2	0	0	0	0	0	4.25	0.00	0.00	0.75	3.50
5	1	0	0	0	0	0	0	0	5.81	0.00	0.00	1.50	4.25
6	1	2	2	0	0	0	0	0	7.00	0.00	0.00	1.25	5.75
7	1	0	1	0	0	0	0	0	8.55	0.00	0.00	1.50	7.00
8	1	2	2	0	0	0	0	0	10.00	0.00	0.00	1.50	8.50
9	1	0	1	0	0	0	0	0	11.56	0.00	0.00	1.50	10.00
10	1	2	2	0	0	0	0	0	12.75	0.00	0.00	1.25	11.50
11	1	0	0	0	0	0	0	0	14.30	0.00	0.00	1.50	12.75
12	1	2	2	0	0	0	0	0	14.75	0.00	0.00	0.50	14.25
13	1	0	0	0	0	0	0	0	16.31	0.00	0.00	1.50	14.75
14	1	2	2	0	0	0	0	0	16.75	0.00	0.00	0.50	16.25
15	1	1	0	2	170	0	0	0	18.31	0.00	0.17	1.50	16.75
16	1	2	2	0	0	0	0	0	19.75	0.00	0.00	1.50	18.25
17	1	0	0	0	0	0	0	0	21.30	0.00	0.00	1.50	19.75
18	1	2	2	0	0	0	0	0	24.25	0.00	0.00	3.00	21.25
19	1	1	1	1	170	0	0	0	25.80	0.00	0.17	1.50	24.25
20	1	2	2	0	0	0	0	0	28.38	0.00	0.00	2.62	25.75
21	1	0	1	0	0	0	0	0	29.93	0.00	0.00	1.50	28.38
22	1	2	2	0	0	0	0	0	32.75	0.00	0.00	2.88	29.88
23	1	0	1	0	0	0	0	0	34.30	0.00	0.00	1.50	32.75
24	1	2	2	0	0	0	0	0	36.00	0.00	0.00	1.75	34.25
25	1	0	1	0	0	0	0	0	37.55	0.00	0.00	1.50	36.00
26	1	2	2	0	0	0	0	0	38.25	0.00	0.00	0.75	37.50
27	1	0	0	0	0	0	0	0	39.80	0.00	0.00	1.50	38.25
28	1	2	2	0	0	0	0	0	40.63	0.00	0.00	0.88	39.75
29	1	1	0	2	130	0	0	0	42.18	0.00	0.13	1.50	40.62
30	1	2	2	0	0	0	0	0	42.63	0.00	0.00	0.50	42.12
31	1	0	0	0	0	0	0	0	44.18	0.00	0.00	1.50	42.62
32	1	2	2	0	0	0	0	0	44.88	0.00	0.00	0.75	44.12
33	1	0	0	0	0	0	0	0	46.44	0.00	0.00	1.50	44.88
34	1	2	2	0	0	0	0	0	47.00	0.00	0.00	0.62	46.38
35	1	0	0	0	0	0	0	0	48.56	0.00	0.00	1.50	47.00
36	1	2	2	0	0	0	0	0	49.13	0.00	0.00	0.62	48.50
37	1	0	0	0	0	0	0	0	50.68	0.00	0.00	1.50	49.12
38	1	2	2	0	0	0	0	0	52.75	0.00	0.00	2.12	50.62
39	1	0	1	0	0	0	0	0	54.31	0.00	0.00	1.50	52.75
40	1	2	2	0	0	0	0	0	54.75	0.00	0.00	0.50	54.25
41	1	0	1	0	0	0	0	0	56.29	0.00	0.00	1.50	54.75
42	1	2	2	0	0	0	0	0	57.13	0.00	0.00	0.88	56.25
43	1	1	1	2	170	0	0	0	58.69	0.00	0.17	1.50	57.12
44	1	2	2	0	0	0	0	0	59.63	0.00	0.00	1.00	58.62
45	1	1	0	1	130	0	0	0	61.18	0.00	0.13	1.50	59.62
46	1	2	2	0	0	0	0	0	61.75	0.00	0.00	0.62	61.12
47	1	0	1	0	0	0	0	0	63.30	0.00	0.00	1.50	61.75
48	1	2	2	0	0	0	0	0	63.88	0.00	0.00	0.62	63.25
49	1	0	0	0	0	0	0	0	65.42	0.00	0.00	1.50	63.88
50	1	2	2	0	0	0	0	0	66.00	0.00	0.00	0.62	65.38
51	1	0	1	0	0	0	0	0	67.56	0.00	0.00	1.50	66.00
52	1	2	2	0	0	0	0	0	68.13	0.00	0.00	0.62	67.50
